Rank,Team,Points
1,India,268
2,England,263
3,South Africa,260
4,Pakistan,256
5,New Zealand,254
6,Australia,251
7,Sri Lanka,235
8,Bangladesh,223
9,Afghanistan,218
10,Zimbabwe,197
11,Ireland,191
12,Netherlands,172
